*******************************************************************************
 Revised: Feb 08, 2020     Spitzer Space Telescope (SST) / (Sun)            -79 
                              http://spitzer.caltech.edu/

 NOTE:
  - The final Spitzer science observations began 2020-Jan-28
  - On 2020-Jan-30, the mission was completed and the spacecraft decommisioned 
     and placed in a permanent storage mode.
  - An extended multi-decade trajectory prediction will eventually be available
     here, but the spaeccraft will drift in its Earth trailing orbit until
     eventually returning to the vicinity of Earth again by ~2073.

 Spitzer Space Telescope 
  Launched: Aug 25, 2003
  Renamed : Dec 18, 2003 (formerly "SIRTF": Space Infrared Telescope Facility)

 EXTENDED MISSION (2009-present):
  Cryogen depletion occurred 2009-May-15. A 2-year extended "warm" mission 
  will continue operating the 3.6 and 4.5 micron channels on the IRAC 
  instrument with expected sensitivity unchanged from performance in the 
  cryogenic mission. The longer wavelength IRAC channels (5.6 and 8.0 microns) 
  and the MIPS and IRS instruments will be unavailable.

 PRIME MISSION (2003-2009):
  Spitzer will obtain images and spectra by detecting infrared (heat) energy, 
  having wavelengths of 3 and 180 microns, radiated by objects in space.  Most
  of this infrared radiation is blocked by the Earth's atmosphere and cannot be
  observed from the ground.  The telescope must be cooled to near absolute zero
  (-459 degrees F, or -273 degrees Celsius) to record infrared from distant 
  regions of space without interference from the telescope's own heat.

 SPACECRAFT:
  0.85-meter telescope 
  3 cryogenically-cooled science instruments
  2 solar panels composed of 392 solar cells, producing 427 Watts. 
  Each solar cell is 5.5 x 6.5 cm. Each panel is 50% covered by solar cells,
   and 50% covered by optical reflectors to reduce panel temp to 330 K.
  Spitzer cannot point more than 120 degrees away from the sun and maintain
   adequate power levels.

 SPACECRAFT TRAJECTORY:
   Final trajectory solution "sst_030825_200134_220101".

   This orbit solution is based on 2-way doppler tracking data through 
   2020-Jan-29 23:33:12. The trajectory after that date is the nominal 
   prediction.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed May  5 08:34:22 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Spitzer Space Telescope (-79)   {source: sst_030825_200134_220101}
Center body name: Earth (399)                     {source: sst_030825_200134_220101}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2013-Jan-11 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jan-05 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: sst_030825_200134_22
Rel. light bend : Sun, EARTH                      {source: sst_030825_200134_22
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.210504.p210726                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAY-04. PREDICTS-> 2021-JUL-25
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************
Date_________JDUT     R.A.___(ICRF)___DEC            delta      deldot
**********************************************************************
$$SOE
2456303.500000000     347.69294  -4.19442 1.15210764299222   1.3972915
2456304.500000000     348.59517  -3.81324 1.15291214453248   1.3882671
2456305.500000000     349.49656  -3.43112 1.15371120507093   1.3784749
2456306.500000000     350.39719  -3.04816 1.15450442499938   1.3680711
2456307.500000000     351.29712  -2.66447 1.15529149904226   1.3572225
2456308.500000000     352.19641  -2.28015 1.15607221746141   1.3460866
2456309.500000000     353.09513  -1.89530 1.15684645184253   1.3347879
2456310.500000000     353.99335  -1.51001 1.15761413779416   1.3234271
2456311.500000000     354.89113  -1.12439 1.15837526099876   1.3120733
2456312.500000000     355.78854  -0.73853 1.15912984074818   1.3007780
2456313.500000000     356.68566  -0.35254 1.15987792394531   1.2895831
2456314.500000000     357.58257   0.03350 1.16061957744447   1.2785193
2456315.500000000     358.47933   0.41949 1.16135488583636   1.2676170
2456316.500000000     359.37603   0.80532 1.16208394981652   1.2569006
2456317.500000000       0.27274   1.19092 1.16280688263950   1.2463901
2456318.500000000       1.16955   1.57618 1.16352380747970   1.2360984
2456319.500000000       2.06654   1.96101 1.16423485209268   1.2260284
2456320.500000000       2.96379   2.34533 1.16494014139223   1.2161662
2456321.500000000       3.86139   2.72903 1.16563978767818   1.2064818
2456322.500000000       4.75943   3.11203 1.16633387935838   1.1969221
2456323.500000000       5.65800   3.49424 1.16702246918579   1.1874175
2456324.500000000       6.55719   3.87556 1.16770556333634   1.1778759
2456325.500000000       7.45711   4.25590 1.16838159622623   1.1681901
2456326.500000000       8.35782   4.63520 1.16905347837236   1.1582402
2456327.500000000       9.25943   5.01334 1.16971950633231   1.1478974
2456328.500000000      10.16202   5.39025 1.17037941565774   1.1370322
2456329.500000000      11.06569   5.76582 1.17103286892855   1.1255240
2456330.500000000      11.97053   6.13996 1.17167946526695   1.1132755
2456331.500000000      12.87660   6.51259 1.17231875796043   1.1002282
2456332.500000000      13.78400   6.88359 1.17295028060109   1.0863735
2456333.500000000      14.69277   7.25289 1.17357357796006   1.0717602
2456334.500000000      15.60300   7.62037 1.17418823800218   1.0564846
2456335.500000000      16.51474   7.98594 1.17479391453849   1.0406802
2456336.500000000      17.42804   8.34950 1.17539034255733   1.0244805
2456337.500000000      18.34296   8.71094 1.17597733345301   1.0080244
2456338.500000000      19.25956   9.07018 1.17655477388477   0.9914279
2456339.500000000      20.17788   9.42710 1.17712261216004   0.9747902
2456340.500000000      21.09798   9.78160 1.17768084685598   0.9581855
2456341.500000000      22.01991  10.13360 1.17822951603963   0.9416803
2456342.500000000      22.94372  10.48299 1.17876869118942   0.9253164
2456343.500000000      23.86947  10.82968 1.17929846827626   0.9091458
2456344.500000000      24.79720  11.17356 1.17981897276130   0.8932176
2456345.500000000      25.72696  11.51454 1.18033035566905   0.8775672
2456346.500000000      26.65881  11.85253 1.18083279116188   0.8622423
2456347.500000000      27.59280  12.18743 1.18132647820748   0.8472819
2456348.500000000      28.52898  12.51914 1.18181163435840   0.8327034
2456349.500000000      29.46739  12.84757 1.18228848300223   0.8185151
2456350.500000000      30.40810  13.17263 1.18275724681145   0.8047005
2456351.500000000      31.35115  13.49422 1.18321812468679   0.7911997
2456352.500000000      32.29659  13.81226 1.18367127833776   0.7779380
2456353.500000000      33.24449  14.12666 1.18411580327193   0.7647978
2456354.500000000      34.19489  14.43731 1.18455375380495   0.7516580
2456355.500000000      35.14785  14.74413 1.18498407997448   0.7383704
2456356.500000000      36.10341  15.04702 1.18540665688271   0.7248023
2456357.500000000      37.06162  15.34590 1.18582128468947   0.7108259
2456358.500000000      38.02252  15.64067 1.18622769572384   0.6963349
